key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,5cfdbf81f8ff8a00157310e0,001,2021-12-06_04h15.52.375,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.87665409,5cfdbf81f8ff8a00157310e0,61ad71e11ddd29ccf7a27d5b,61ad72130e928d771ea13c22,,,-94,43,1,0,0,response7disk,1.4222,-7,2,1,0,0,rectangle,-7,2,1,0,0,,-3,"[104,45,151,89,48,128,62,129,35,39]",-7,2,1,0,0,0,14,14,36,1,LightBlue,LightBlue.jpg,DarkBlue,DarkBlue.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,5cfdbf81f8ff8a00157310e0,001,2021-12-06_04h15.52.375,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.87665409,5cfdbf81f8ff8a00157310e0,61ad71e11ddd29ccf7a27d5b,61ad72130e928d771ea13c22,,,-97,-32,1,0,0,response5disk,1.9049,-6,6,1,0,0,rectangle,-6,6,1,0,0,,-4,"[104,45,151,89,48,128,62,129,35,39]",-6,6,1,0,0,0,15,15,68,1,DarkBlue,DarkBlue.jpg,DarkGreen,DarkGreen.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,5cfdbf81f8ff8a00157310e0,001,2021-12-06_04h15.52.375,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.87665409,5cfdbf81f8ff8a00157310e0,61ad71e11ddd29ccf7a27d5b,61ad72130e928d771ea13c22,,,-94,-38,1,0,0,response5disk,2.0368,-4,0,1,0,0,rectangle,-4,0,1,0,0,,3,"[104,45,151,89,48,128,62,129,35,39]",-4,0,1,0,0,0,16,16,32,1,Turquiose,Turquiose.jpg,DarkBlue,DarkBlue.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,5cfdbf81f8ff8a00157310e0,001,2021-12-06_04h15.52.375,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.87665409,5cfdbf81f8ff8a00157310e0,61ad71e11ddd29ccf7a27d5b,61ad72130e928d771ea13c22,,,-75,108,1,0,0,response7disk,2.0015,3,6,1,0,0,rectangle,3,6,1,0,0,,-2,"[104,45,151,89,48,128,62,129,35,39]",3,6,1,0,0,0,17,17,29,1,DarkGreen,DarkGreen.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,5cfdbf81f8ff8a00157310e0,001,2021-12-06_04h15.52.375,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.87665409,5cfdbf81f8ff8a00157310e0,61ad71e11ddd29ccf7a27d5b,61ad72130e928d771ea13c22,,,-68,119,1,0,0,response7disk,1.1373,-7,2,1,0,0,rectangle,-7,2,1,0,0,,-2,"[104,45,151,89,48,128,62,129,35,39]",-7,2,1,0,0,0,18,18,52,1,Purple,Purple.jpg,Red,Red.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,5cfdbf81f8ff8a00157310e0,001,2021-12-06_04h15.52.375,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.87665409,5cfdbf81f8ff8a00157310e0,61ad71e11ddd29ccf7a27d5b,61ad72130e928d771ea13c22,,,-58,115,1,0,0,response7disk,1.0041,-7,1,1,0,0,rectangle,-7,1,1,0,0,,3,"[104,45,151,89,48,128,62,129,35,39]",-7,1,1,0,0,0,19,19,14,1,Yellow,Yellow.jpg,DarkBlue,DarkBlue.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,5cfdbf81f8ff8a00157310e0,001,2021-12-06_04h15.52.375,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.87665409,5cfdbf81f8ff8a00157310e0,61ad71e11ddd29ccf7a27d5b,61ad72130e928d771ea13c22,,,-39,106,1,0,0,response7disk,0.9207,-1,19,1,0,0,rectangle,-1,19,1,0,0,,-1,"[104,45,151,89,48,128,62,129,35,39]",-1,19,1,0,0,0,20,20,28,1,DarkGreen,DarkGreen.jpg,Pink,Pink.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5cfdbf81f8ff8a00157310e0,001,2021-12-06_04h15.52.375,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.87665409,5cfdbf81f8ff8a00157310e0,61ad71e11ddd29ccf7a27d5b,61ad72130e928d771ea13c22,,,70,114,1,0,0,response1disk,1.1206,0,1,1,0,0,rectangle,0,1,1,0,0,,-3,"[104,45,151,89,48,128,62,129,35,39]",0,1,1,0,0,0,21,21,44,1,Purple,Purple.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,5cfdbf81f8ff8a00157310e0,001,2021-12-06_04h15.52.375,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.87665409,5cfdbf81f8ff8a00157310e0,61ad71e11ddd29ccf7a27d5b,61ad72130e928d771ea13c22,,,-98,-47,1,0,0,response5disk,3.6023,2,5,1,0,0,rectangle,2,5,1,0,0,,2,"[104,45,151,89,48,128,62,129,35,39]",2,5,1,0,0,0,22,22,31,1,Turquiose,Turquiose.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,5cfdbf81f8ff8a00157310e0,001,2021-12-06_04h15.52.375,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.87665409,5cfdbf81f8ff8a00157310e0,61ad71e11ddd29ccf7a27d5b,61ad72130e928d771ea13c22,,,-93,-40,1,0,0,response5disk,2.8599,-6,9,1,0,0,rectangle,-6,9,1,0,0,,2,"[104,45,151,89,48,128,62,129,35,39]",-6,9,1,0,0,0,23,23,22,1,LightGreen,LightGreen.jpg,Pink,Pink.jpg,,
